Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
angle (plane),1,C81,radian,rad,rad,
angle (plane),1S,C25,milliradian,10⁻³ rad,mrad,
angle (plane),1S,B97,microradian,10⁻⁶ rad,µrad,
angle (plane),1,DD,degree [unit of angle],"1,745 329 × 10⁻² rad",°,
angle (plane),1,D61,minute [unit of angle],"2,908 882 × 10⁻⁴ rad",',
angle (plane),1,D62,second [unit of angle],"4,848 137 × 10⁻⁶ rad","""",
angle (plane),2,A91,grade,#NAME?,,
angle (plane),2,A91,gon,"1,570 796 × 10⁻² rad",gon,Synonym: grade
angle (plane),2,M43,mil,"9,817 477  × 10⁻⁴ rad",mil,"Unit to indicate an angle at military zone, equal to the 6400th part of the full circle of the 360° or 2·p·rad."
angle (plane),2,M44,revolution,"6,283 185 rad",rev,Unit to identify an angle of the full circle of 360° or 2·p·rad (Refer ISO/TC12 SI Guide).
solid angle,1,D27,steradian,sr,sr,
solid angle,2,H57,inch per two pi radiant,"2,54 × 10⁻² m/(2 × π × rad)",in/revolution,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,MTR,metre,m,m,
solid angle,1M,E96,degree per second,"1,745 329 × 10⁻² rad × s⁻¹",°/s,
solid angle,2,H27,degree per metre,"1,745 329 × 10⁻² rad/m",°/m,
solid angle,1S,M55,metre per radiant,m/rad,m/rad,Unit of the translation factor for implementation from rotation to linear movement.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,DMT,decimetre,10⁻¹ m,dm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,CMT,centimetre,10⁻² m,cm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,4H,micrometre (micron),10⁻⁶ m,µm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,MMT,millimetre,10⁻³ m,mm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,HMT,hectometre,10² m,hm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,KTM,kilometre,10³ m,km,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,KMT,kilometre,10³ m,km,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,C45,nanometre,10⁻⁹ m,nm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,C52,picometre,10⁻¹² m,pm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,A71,femtometre,10⁻¹⁵ m,fm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,A45,decametre,10 m,dam,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,NMI,nautical mile,1 852 m,n mile,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,A11,angstrom,10⁻¹⁰ m,Å,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,A12,astronomical unit,"1,495 978 70 × 10¹¹ m",ua,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,C63,parsec,"3,085 678 × 10¹⁶ m",pc,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F52,metre per kelvin,m × K⁻¹,m/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F50,micrometre per kelvin,10⁻⁶ m × K⁻¹,µm/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F51,centimetre per kelvin,10⁻² m × K⁻¹,cm/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G06,millimetre per bar,10⁻⁸ kg⁻¹ × m² × s²,mm/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,H84,gram millimetre,10⁻⁶ kg × m,g·mm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G04,centimetre per bar,10⁻⁷ kg⁻¹ × m² × s²,cm/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G05,metre per bar,10⁻⁵ kg⁻¹ × m² × s²,m/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,H79,French gauge,"0,333 333 333 × 10⁻³ m",Fg,"A unit of distance used for measuring the diameter of small tubes such as urological instruments and catheters.
Synonym: French, Charrière, Charrière gauge"
