Code,Name,Description,Numeric code,
1A,"Drum, steel",,34,
1B,"Drum, aluminium",,34,
1D,"Drum, plywood",,34,
1F,"Container, flexible",A packaging container of flexible construction.,93,
1G,"Drum, fibre",,34,
1W,"Drum, wooden",,"34, 35",
2C,"Barrel, wooden",,"44, 45",
3A,"Jerrican, steel",,"23, 33",
3H,"Jerrican, plastic",,"23, 33",
43,"Bag, super bulk",A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed.,64,
44,"Bag, polybag","A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues. ","62, 63",
4A,"Box, steel",,"21, 22, 23, 24, 25",
4B,"Box, aluminium",,"21, 22, 23, 24, 25",
4C,"Box, natural wood",,"21, 22, 23, 24, 25",
4D,"Box, plywood",,"21, 22, 23, 24, 25",
4F,"Box, reconstituted wood",,"21, 22, 23, 24, 25",
4G,"Box, fibreboard",,"21, 22, 23, 24, 25",
4H,"Box, plastic",,"21, 22, 23, 24, 25",
5H,"Bag, woven plastic",,"62, 63, 64",
5L,"Bag, textile ",,"62, 63, 64",
5M,"Bag, paper ",,"62, 63, 64",
6H,"Composite packaging, plastic receptacle",,"24, 25, 33, 34",
6P,"Composite packaging, glass receptacle",,"23, 24, 25, 33, 34, 62, 63",
7A,"Case, car",A type of portable container designed to store equipment for carriage in an automobile.,"22, 23",
7B,"Case, wooden",A case made of wood for retaining substances or articles.,"24, 25",
8A,"Pallet, wooden","A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage.","24, 25",
8B,"Crate, wooden","A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage.","23, 24, 25, 26, 27",
8C,"Bundle, wooden",Loose or unpacked pieces of wood tied or wrapped together. ,16,
AA,"Intermediate bulk container, rigid plastic",,"23, 24, 25, 26",
AB,"Receptacle, fibre ",Containment vessel made of fibre used for retaining substances or articles.,"21, 22, 23, 31, 32, 33, 41, 42, 43",
AC,"Receptacle, paper ",Containment vessel made of paper for retaining substances or articles.,"21, 22, 23, 31, 32, 33, 41, 42, 43",
AD,"Receptacle, wooden ",Containment vessel made of wood for retaining substances or articles.,"21, 22, 23, 31, 32, 33, 41, 42, 43",
AE,Aerosol,,"42, 43",
AF,"Pallet, modular, collars 80cms * 60cms ",Standard sized pallet of dimensions 80 centimeters by 60 centimeters (cms).,92,
AG,"Pallet, shrinkwrapped ",Pallet load secured with transparent plastic film that has been wrapped around and then shrunk tightly.,92,
AH,"Pallet, 100cms * 110cms ",Standard sized pallet of dimensions 100centimeters by 110 centimeters (cms).,92,
AI,Clamshell,,"21, 22, 23",
AJ,Cone,Container used in the transport of linear material such as yarn.,51,
AL,Ball,A spherical containment vessel for retaining substances or articles.,46,
AM,"Ampoule, non-protected ",,31,
AP,"Ampoule, protected ",,31,
AT,Atomizer ,,"42, 43",
AV,Capsule,,92,
B4,Belt,A band use to retain multiple articles together.,93,
BA,Barrel ,,"44, 45",
BB,Bobbin ,,91,
BC,Bottlecrate / bottlerack ,,29,
BD,Board,,16,
BE,Bundle ,,"61, 62, 63, 64, 65",
BF,"Balloon, non-protected ",,"42, 43",
BG,Bag,A receptacle made of flexible material with an open or closed top.,"62, 63, 64",
BH,Bunch,,"61, 62, 63, 64, 65",
BI,Bin,,"21, 25",
BJ,Bucket ,,51,
BK,Basket ,,27,
BL,"Bale, compressed ",,65,
BM,Basin,,51,
BN,"Bale, non-compressed ",,65,
BO,"Bottle, non-protected, cylindrical ",A narrow-necked cylindrical shaped vessel without external protective packing material.,"32, 33",
BP,"Balloon, protected ",,"42, 43",
BQ,"Bottle, protected cylindrical",A narrow-necked cylindrical shaped vessel with external protective packing material.,"32, 33",
BR,Bar,,16,
BS,"Bottle, non-protected, bulbous ",A narrow-necked bulb shaped vessel without external protective packing material.,"42, 43",
BT,Bolt ,,13,
BU,Butt ,,"44, 45",
