Code,Name,Description
1,"Arrival, completed",The goods/consignment/equipment/means of transport has arrived.
2,"Loading, authorized",Authorisation to load has been given.
3,"Arrival, in defective condition",The goods/consignment/equipment or a means of transport has arrived in a defective condition.
4,"Defective equipment returned to service",The equipment previously the subject of a 'defective condition' status has been returned to service.
5,"Process, begun",The process has begun.
6,"Booking, completed",The goods/consignment/equipment or means of transport has been booked.
7,"Booking, cancelled",The booking of goods/consignment/equipment or means of transport has been cancelled.
8,"Cleared, import restrictions",The goods/consignment/equipment/means of transport held for import restriction purposes has been released for import.
9,"Cleared, export restrictions",The goods/consignment/equipment/means of transport held for export restriction purposes has been released for export.
10,"Cleared, by agriculture, food or fisheries authorities",The goods/consignment/equipment/means of transport has been cleared by agriculture food or fisheries authorities.
11,"Cleared, by port authority",The goods/consignment/equipment/means of transport has been cleared by port authority.
12,"Cleared, by customs",The goods/consignment/equipment/means of transport has been cleared by customs.
13,"Collection/pick-up, completed",The goods/consignment/equipment has been collected/picked-up.
14,"Process, completed",The process has been completed.
15,"Consolidated",The goods/consignments have been consolidated.
16,"Crossed border",The goods/consignments/equipment/means of transport has crossed a border. 
17,"Customs clearance, refused",The goods/consignment/equipment/means of transport has been refused to be cleared by the customs authorities.
18,"Damaged in the course of transportation",The goods/consignment/equipment has been damaged in the course of transportation.
19,"Equipment, damage quoted for",Damaged equipment has been assessed and a repair quotation has been sent.
20,"Delayed, in the course of transportation",The goods/consignment/equipment/means of transport has been delayed in the course of transportation.
21,"Delivery, completed",The goods/consignment/equipment has been delivered.
22,"Delivery, completed as per instruction",Delivery of the goods/consignment/equipment has been completed as per instruction.
23,"Delivery, not completed",Delivery of the goods/consignment/equipment has not been completed.
24,"Departure, completed",The means of transport has departed. 
25,"Departure, delayed",The means of transport has been delayed in departure.
26,"Deramped",The equipment has been removed from a position above another type of equipment and/or on a means of transport.
27,"Despatch, completed",The goods/consignment/equipment has been despatched.
28,"Stripped",The goods/consignment/equipment has been unloaded from a piece of equipment in which they were transported.
29,"Unloaded",The goods/consignment/equipment has been unloaded from a means of transport.
30,"Empty on inspection",The package/equipment has been found to be empty on inspection.
31,"En route",The goods/consignment/equipment/means of transport is moving to destination.
32,"Equipment, returned from repair",The equipment has been returned from repair.
33,"Equipment, sent for repair",The equipment has been sent for repair.
34,"Equipment, repaired",The equipment has been repaired.
35,"Forwarded to destination",The goods/consignment/equipment has been forwarded to a destination.
36,"Not found",The goods/consignment/equipment/means of transport has not been found.
37,"Found",The goods/consignment/equipment/means of transport has been found.
38,"Freight paid",The freight charges have been paid.
39,"Released from bond",The goods/consignment/equipment has been released from bond.
40,"Arrival, at port",The goods/consignment/equipment has arrived at the port.
41,"Handed over under continued responsibility",The goods/consignment/equipment has been handed over under responsibility of the same transport operator.
44,"Misrouted consignment corrected",The goods/consignment/equipment/means of transport has been re-routed to the correct destination.
45,"Arrival, consignee informed",The consignee has been informed of the arrival of the goods/consignments/equipment/means of transport.
46,"Moved, into bond",The goods/consignment/equipment has been moved into bond.
47,"Moved, into packing depot",The goods/consignment/equipment has been moved into a packing depot.
48,"Loading, completed onto a means of transport",The goods/consignment/equipment has been loaded onto a means of transport.
49,"Lost",The goods/consignment/equipment/means of transport has been lost.
50,"Manifested",The goods/consignment/equipment has been included on a manifest.
51,"Onloaded from a means of transport",The consignment has been onloaded from a means of transport.
53,"Collection/pick-up, not completed",The goods/consignment/equipment expected has not been collected/picked-up.
54,"Unidentifiable",The goods/consignment/equipment/means of transport cannot be identified.
57,"Not loaded onto a means of transport",The goods/consignment/equipment has not been loaded onto a means of transport.
58,"Equipment, off hire",The equipment is no longer under lease.
59,"Premature onloading",The goods/consignment/equipment has been onloaded prematurely from a means of transport.
60,"Equipment, on hire",The equipment has been leased.
61,"Outstanding claims settled",Outstanding claims in respect of the goods/consignment/equipment have been settled.
62,"Overlanded",Unmanifested goods/consignments/equipment has been unloaded.
63,"Not available for collection/pick-up",The goods/consignment/equipment is not available for collection/pick-up.
64,"Collection/pick-up, awaited",The goods/consignment/equipment is awaiting collection/pick-up.
65,"Equipment, plugged-in",The equipment has been plugged into a power source.
66,"Plundered",The goods/consignment/equipment/means of transport has been plundered.
67,"Positioned",The goods/consignment/equipment has been positioned.
68,"Pre-informed",The party has been informed in advance.
69,"Disposed of",The goods/consignment/equipment has been disposed of.
70,"Ramped equipment",The equipment has been placed above another type of equipment and/or placed on a means of transport.
71,"Ready for transportation",The goods/consignment/equipment is ready for transportation.
72,"Receipt of goods fully acknowledged",The receipt of goods has been fully acknowledged.
73,"Receipt of goods partially acknowledged",The receipt of goods has been partially acknowledged.
74,"Received",The goods/consignment/equipment have been received.
75,"Consignee changed",The consignee has been changed.
76,"Transport re-arranged",The transport of the goods/consignment/equipment has been re-arranged.
77,"Refused, action",The transport action has been refused.
78,"Released",The goods/consignment/equipment has been released.
79,"Reloaded onto a means of transport",The goods/consignment/equipment has been reloaded onto a means of transport.
80,"Returned as instructed",The goods/consignment/equipment has been returned as instructed.
81,"Returned wrecked",The goods/consignment/equipment/means of transport has been returned in a wrecked condition.
82,"Returned",The goods/consignment/equipment has been returned.
83,"Sealed equipment",The equipment has been sealed.
84,"Service ordered",A service has been ordered.
85,"Short landed",Goods/consignments/equipment manifested for unloading have not been unloaded.
86,"Short shipped",The goods/consignment/equipment expected to be sent has not been fully loaded onto a means of transport.
87,"Despatched, completed via a wrong route",The goods/consignment/equipment has been despatched via a wrong route.
